Trip_ID,Driver_ID,Vehicle_ID,Trip_Date,Start_Time,End_Time,Duration_Min,Distance_KM,Avg_Speed_kmph,Max_Speed_kmph,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,start_ts,end_ts,duration_clock_min,telemetry_row_count,gps_path_km,speed_integral_km,telemetry_avg_speed_kmph,telemetry_max_speed_kmph,flag_overlap_driver,flag_overlap_vehicle,flag_non_primary_vehicle,flag_distance_vs_gps,flag_distance_vs_speed_integral,flag_has_gps_teleport,flag_has_speed_jump
T00039,D03,V03,2026-07-31,12:19:00,12:44:00,25,11.92,22.4,52.3,12.898327,77.618005,12.900388,77.549018,2026-07-31 12:19:00,2026-07-31 12:44:00,25.0,25,10.354357156177432,9.315,22.355999999999998,52.3,0,0,0,0,0,0,0
T00040,D03,V03,2026-08-06,17:50:00,18:21:00,31,13.65,21.8,49.9,12.905694,77.607486,12.804134,77.580432,2026-08-06 17:50:00,2026-08-06 18:21:00,31.0,31,12.25504136087207,11.266666666666667,21.806451612903224,49.9,0,0,0,0,0,0,0
T00041,D03,V03,2026-08-03,21:29:00,22:04:00,35,12.38,27.4,60.1,12.910528,77.606494,12.946965,77.661748,2026-08-03 21:29:00,2026-08-03 22:04:00,35.0,35,10.843143652736705,15.993333333333334,27.417142857142856,60.1,0,0,0,0,1,0,1
T00042,D03,V03,2026-08-04,16:40:00,17:20:00,40,7.88,21.5,53.4,12.903092,77.624516,12.934963,77.594091,2026-08-04 16:40:00,2026-08-04 17:20:00,40.0,40,7.171983857888762,14.308333333333334,21.4625,53.4,0,0,0,0,1,0,1
T00043,D03,V03,2026-08-01,14:56:00,15:35:00,39,20.88,16.4,47.1,12.909805,77.632485,13.037055,77.670478,2026-08-01 14:56:00,2026-08-01 15:35:00,39.0,39,18.598399383235815,10.628333333333334,16.351282051282052,47.1,0,0,0,0,1,0,0
T00044,D03,V03,2026-08-06,10:03:00,10:30:00,27,9.3,32.4,59.1,12.913492,77.624873,12.938671,77.679631,2026-08-06 10:03:00,2026-08-06 10:30:00,27.0,27,8.52258925799721,14.585,32.41111111111111,59.1,0,0,0,0,1,0,0
T00045,D03,V03,2026-08-05,10:59:00,11:42:00,43,13.14,22.1,55.4,12.916333,77.614986,12.941544,77.519671,2026-08-05 10:59:00,2026-08-05 11:42:00,43.0,43,12.439464121706546,15.868333333333334,22.14186046511628,55.4,0,0,0,0,0,0,1
T00046,D04,V04,2026-08-05,14:05:00,14:50:00,45,18.81,28.0,48.1,12.901007,77.648588,12.831105,77.595136,2026-08-05 14:05:00,2026-08-05 14:50:00,45.0,45,17.286955810040723,20.983333333333334,27.977777777777778,48.1,0,0,0,0,0,0,0
T00047,D04,V04,2026-08-05,09:56:00,10:29:00,33,15.2,32.4,50.7,12.916277,77.634406,12.869649,77.531312,2026-08-05 09:56:00,2026-08-05 10:29:00,33.0,33,14.437877521947968,17.81,32.381818181818176,50.7,0,0,0,0,0,0,0
T00048,D04,V04,2026-08-05,18:43:00,19:15:00,32,16.54,23.9,42.9,12.91798,77.649215,12.814652,77.669822,2026-08-05 18:43:00,2026-08-05 19:15:00,32.0,32,14.623836624781923,12.753333333333334,23.9125,42.9,0,0,0,0,1,0,0
T00049,D04,V04,2026-08-02,19:44:00,20:16:00,32,10.78,29.8,51.6,12.916233,77.638744,12.90239,77.718135,2026-08-02 19:44:00,2026-08-02 20:16:00,32.0,32,9.863624921715147,15.889999999999999,29.79375,51.6,0,0,0,0,1,0,0
T00050,D04,V04,2026-07-31,19:02:00,19:40:00,38,10.83,22.3,37.6,12.919474,77.648825,12.976416,77.600956,2026-07-31 19:02:00,2026-07-31 19:40:00,38.0,38,9.932346214412169,14.133333333333333,22.31578947368421,37.6,0,0,0,0,1,0,0
T00051,D04,V04,2026-08-01,12:16:00,12:54:00,38,12.83,15.3,29.1,12.914721,77.638116,12.911644,77.539791,2026-08-01 12:16:00,2026-08-01 12:54:00,38.0,38,11.719968307756737,9.671666666666665,15.271052631578947,29.1,0,0,0,0,1,0,0
T00052,D04,V04,2026-08-03,10:19:00,10:40:00,21,7.47,18.6,34.8,12.914468,77.639157,12.942421,77.596725,2026-08-03 10:19:00,2026-08-03 10:40:00,21.0,21,6.6128999991487385,6.52,18.628571428571426,34.8,0,0,0,0,0,0,0
T00053,D04,V04,2026-08-04,15:39:00,16:08:00,29,13.9,19.4,40.6,12.911909,77.648897,12.992169,77.651553,2026-08-04 15:39:00,2026-08-04 16:08:00,29.0,29,12.537258629954597,9.381666666666666,19.410344827586208,40.6,0,0,0,0,1,0,0
T00054,D04,V04,2026-08-01,09:29:00,10:09:00,40,17.54,29.7,50.6,12.918995,77.63258,12.807225,77.668889,2026-08-01 09:29:00,2026-08-01 10:09:00,40.0,40,15.723663427998087,19.831666666666667,29.747500000000002,50.6,0,0,0,0,0,0,0
T00055,D04,V04,2026-08-02,14:00:00,14:28:00,28,13.16,28.1,48.8,12.908491,77.641335,12.956207,77.709868,2026-08-02 14:00:00,2026-08-02 14:28:00,28.0,28,11.807584986962029,13.1,28.071428571428573,48.8,0,0,0,0,0,0,0
T00056,D04,V04,2026-08-04,14:47:00,15:14:00,27,11.73,16.0,32.5,12.916624,77.630694,12.969421,77.567078,2026-08-04 14:47:00,2026-08-04 15:14:00,27.0,27,10.254577022963817,7.1816666666666675,15.95925925925926,32.5,0,0,0,0,1,0,0
T00057,D04,V04,2026-07-31,11:34:00,12:03:00,29,16.38,28.4,40.0,12.915647,77.645074,12.861201,77.558658,2026-07-31 11:34:00,2026-07-31 12:03:00,29.0,29,15.169269106298117,13.735000000000001,28.417241379310347,40.0,0,0,0,0,0,0,0
T00058,D04,V04,2026-08-02,07:43:00,08:03:00,20,9.66,25.4,43.6,12.920892,77.645038,12.888109,77.696147,2026-08-02 07:43:00,2026-08-02 08:03:00,20.0,20,8.311153205303771,8.471666666666668,25.415,43.6,0,0,0,0,0,0,0
T00059,D04,V04,2026-08-03,17:10:00,17:42:00,32,18.54,26.9,36.5,12.903764,77.648834,12.804023,77.618057,2026-08-03 17:10:00,2026-08-03 17:42:00,32.0,32,15.756255400340526,14.335,26.878125,36.5,0,0,0,0,1,0,0
T00060,D04,V04,2026-07-31,19:45:00,20:16:00,31,9.64,20.2,45.7,12.92462,77.639536,12.879808,77.599324,2026-07-31 19:45:00,2026-07-31 20:16:00,31.0,31,8.732264878768689,10.441666666666666,20.20967741935484,45.7,0,0,0,0,0,0,0
T00061,D05,V05,2026-08-05,12:32:00,13:14:00,42,19.04,33.1,47.8,12.984144,77.557374,12.915988,77.666649,2026-08-05 12:32:00,2026-08-05 13:14:00,42.0,42,17.423036199203185,23.14,33.05714285714286,47.8,1,1,0,0,1,0,0
T00062,D05,V05,2026-08-04,14:07:00,14:48:00,41,33.4,23.4,34.1,12.991789,77.537085,12.991341,77.342497,2026-08-04 14:07:00,2026-08-04 14:48:00,41.0,41,30.110296718228476,15.961666666666668,23.358536585365854,34.1,0,0,0,1,1,0,0
T00063,D05,V05,2026-08-01,14:13:00,14:58:00,45,28.5,18.7,30.0,12.97516,77.565401,12.792549,77.555381,2026-08-01 14:13:00,2026-08-01 14:58:00,45.0,45,26.256154383548537,14.048333333333334,18.73111111111111,30.0,0,0,0,0,1,0,0
T00064,D05,V05,2026-08-01,15:34:00,16:00:00,26,17.15,31.7,42.0,12.993866,77.562069,13.073685,77.624457,2026-08-01 15:34:00,2026-08-01 16:00:00,26.0,26,15.386172547109531,13.751666666666667,31.734615384615385,42.0,0,0,0,0,1,0,0
T00065,D05,V05,2026-08-04,17:30:00,18:14:00,44,15.93,26.5,37.5,12.989941,77.554711,12.896849,77.611197,2026-08-04 17:30:00,2026-08-04 18:14:00,44.0,44,14.707126085861628,19.425,26.488636363636363,37.5,0,0,0,0,1,0,0
T00066,D05,V05,2026-08-06,14:14:00,14:36:00,22,14.07,22.1,30.8,12.986686,77.550906,12.984215,77.648928,2026-08-06 14:14:00,2026-08-06 14:36:00,22.0,22,12.16394876811293,8.108333333333333,22.113636363636363,30.8,0,0,0,0,1,0,0
T00067,D05,V05,2026-08-05,12:38:00,13:19:00,41,12.07,24.1,33.0,12.983506,77.562731,12.990538,77.647425,2026-08-05 12:38:00,2026-08-05 13:19:00,41.0,41,11.182798813422998,16.493333333333332,24.13658536585366,33.0,1,1,0,0,1,0,0
T00068,D05,V05,2026-08-01,10:14:00,10:41:00,27,9.12,23.8,34.5,12.989916,77.555536,12.946948,77.518915,2026-08-01 10:14:00,2026-08-01 10:41:00,27.0,27,8.049605633338187,10.705,23.788888888888888,34.5,0,0,0,0,0,0,0
T00069,D05,V05,2026-08-02,10:27:00,10:54:00,27,19.08,19.2,24.7,12.997166,77.565687,13.090741,77.623785,2026-08-02 10:27:00,2026-08-02 10:54:00,27.0,27,17.123176323479743,8.635,19.18888888888889,24.7,0,0,0,0,1,0,0
T00070,D05,V05,2026-08-05,10:07:00,10:46:00,39,19.7,20.5,29.7,13.002779,77.562167,13.108974,77.461605,2026-08-05 10:07:00,2026-08-05 10:46:00,39.0,39,17.802983637011813,13.311666666666667,20.47948717948718,29.7,0,0,0,0,1,0,0
T00071,D05,V05,2026-08-01,09:34:00,10:01:00,27,10.77,18.4,25.2,12.997429,77.550276,13.017768,77.488565,2026-08-01 09:34:00,2026-08-01 10:01:00,27.0,27,9.480370519347908,8.28,18.400000000000002,25.2,0,0,0,0,0,0,0
T00072,D05,V05,2026-08-03,14:34:00,15:00:00,26,19.89,17.9,25.7,12.975241,77.552537,12.942003,77.665367,2026-08-03 14:34:00,2026-08-03 15:00:00,26.0,26,17.051659503239396,7.738333333333333,17.857692307692307,25.7,0,0,0,0,1,0,0
T00073,D05,V05,2026-08-04,10:36:00,10:58:00,22,13.51,19.3,25.9,12.982206,77.565233,12.994735,77.657399,2026-08-04 10:36:00,2026-08-04 10:58:00,22.0,22,11.491350803631097,7.071666666666667,19.286363636363635,25.9,0,0,0,0,1,0,0
T00074,D05,V05,2026-08-06,15:23:00,15:35:00,12,7.0,26.6,35.0,13.010099,77.554402,13.049137,77.546174,2026-08-06 15:23:00,2026-08-06 15:35:00,12.0,12,5.577974453359871,5.325,26.625,35.0,0,0,0,1,0,0,0
T00075,D05,V05,2026-08-05,13:50:00,14:31:00,41,19.37,20.0,30.2,13.003878,77.565291,13.086413,77.449866,2026-08-05 13:50:00,2026-08-05 14:31:00,41.0,41,17.83872320921627,13.675,20.01219512195122,30.2,0,0,0,0,1,0,0
T00076,D06,V06,2026-08-04,19:27:00,19:46:00,19,9.64,21.8,52.7,12.842302,77.660492,12.797065,77.693597,2026-08-04 19:27:00,2026-08-04 19:46:00,19.0,19,7.9152333633878165,6.890000000000001,21.757894736842108,52.7,0,0,0,0,0,0,1
T00077,D06,V06,2026-08-01,12:52:00,13:30:00,38,14.71,23.0,51.3,12.855131,77.665296,12.837175,77.760075,2026-08-01 12:52:00,2026-08-01 13:30:00,38.0,38,13.22280907679101,14.586666666666668,23.031578947368423,51.3,0,0,0,0,0,0,0
T00078,D06,V06,2026-08-05,08:36:00,09:06:00,30,16.2,28.4,70.0,12.847949,77.654515,12.760488,77.709523,2026-08-05 08:36:00,2026-08-05 09:06:00,30.0,30,14.626138718522341,14.225,28.45,70.0,0,0,0,0,0,0,1
T00079,D06,V06,2026-08-03,21:52:00,22:08:00,16,10.56,26.1,58.1,12.841878,77.666515,12.888256,77.696051,2026-08-03 21:52:00,2026-08-03 22:08:00,16.0,16,8.518822670531607,6.965,26.11875,58.1,0,0,0,0,1,0,0
T00080,D06,V06,2026-08-02,12:14:00,12:54:00,40,3.39,17.7,54.4,12.845772,77.661596,12.831244,77.673541,2026-08-02 12:14:00,2026-08-02 12:54:00,40.0,40,2.8760606801165727,11.82,17.73,54.4,0,0,0,0,1,0,1
T00081,D06,V06,2026-07-31,20:44:00,21:20:00,36,12.28,25.7,58.3,12.854546,77.655246,12.852115,77.576725,2026-07-31 20:44:00,2026-07-31 21:20:00,36.0,36,11.378413530894425,15.403333333333334,25.672222222222224,58.3,0,1,0,0,1,0,1
T00082,D06,V06,2026-08-04,11:07:00,11:50:00,43,13.82,24.9,55.3,12.843342,77.661513,12.915514,77.595901,2026-08-04 11:07:00,2026-08-04 11:50:00,43.0,43,12.853119683364948,17.87,24.934883720930234,55.3,1,1,0,0,1,0,0
T00083,D06,V06,2026-08-05,11:20:00,11:56:00,36,17.44,23.3,48.7,12.836062,77.655783,12.79763,77.780427,2026-08-05 11:20:00,2026-08-05 11:56:00,36.0,36,16.64073205448752,14.0,23.333333333333332,48.7,0,0,0,0,1,0,0
T00084,D06,V06,2026-08-06,21:37:00,22:17:00,40,10.42,24.3,48.2,12.836198,77.669301,12.884194,77.69862,2026-08-06 21:37:00,2026-08-06 22:17:00,40.0,40,9.107649673238937,16.166666666666668,24.25,48.2,0,0,0,0,1,0,0
T00085,D06,V06,2026-08-03,07:11:00,07:31:00,20,11.43,25.4,49.3,12.847721,77.671209,12.884424,77.734127,2026-08-03 07:11:00,2026-08-03 07:31:00,20.0,20,9.77528754552029,8.46,25.380000000000003,49.3,0,0,0,0,0,0,0
T00086,D06,V06,2026-08-04,11:34:00,11:56:00,22,12.86,36.4,61.3,12.862148,77.654492,12.922864,77.58018,2026-08-04 11:34:00,2026-08-04 11:56:00,22.0,22,12.183965621851014,13.358333333333333,36.43181818181818,61.3,1,1,0,0,0,0,1
T00087,D06,V06,2026-08-05,19:10:00,19:46:00,36,17.77,25.5,49.6,12.86741,77.655211,12.989774,77.626487,2026-08-05 19:10:00,2026-08-05 19:46:00,36.0,36,15.925783006841801,15.313333333333333,25.522222222222222,49.6,0,0,0,0,0,0,0
T00088,D06,V06,2026-08-01,07:10:00,07:52:00,42,18.52,27.9,73.6,12.842659,77.660384,12.89142,77.565536,2026-08-01 07:10:00,2026-08-01 07:52:00,42.0,42,16.57718785470985,19.551666666666666,27.93095238095238,73.6,0,0,0,0,0,0,1
T00089,D06,V06,2026-08-06,07:53:00,08:31:00,38,17.55,35.8,63.4,12.844411,77.656227,12.951768,77.581461,2026-08-06 07:53:00,2026-08-06 08:31:00,38.0,38,16.287039385691138,22.683333333333334,35.81578947368421,63.4,0,0,0,0,1,0,0
T00090,D06,V06,2026-08-04,08:24:00,08:38:00,14,26.46,17.4,44.2,12.86065,77.65188,12.9099,77.688694,2026-08-04 08:24:00,2026-08-04 08:38:00,14.0,14,21.7399169284753,4.05,17.357142857142858,44.2,0,0,0,1,1,1,0
T00091,D07,V07,2026-08-02,06:12:00,06:56:00,44,10.44,16.2,34.5,12.901074,77.627179,12.957798,77.569578,2026-08-02 06:12:00,2026-08-02 06:56:00,44.0,44,9.853245539279508,11.889999999999999,16.213636363636365,34.5,0,0,0,0,0,0,0
T00092,D07,V07,2026-08-05,11:21:00,12:02:00,41,16.75,30.9,44.8,12.899716,77.622209,13.007264,77.609265,2026-08-05 11:21:00,2026-08-05 12:02:00,41.0,41,14.704273932854681,21.136666666666667,30.931707317073172,44.8,0,0,0,0,1,0,0
T00093,D07,V07,2026-08-03,11:40:00,12:12:00,32,19.64,17.4,30.8,12.915181,77.623689,12.927377,77.760074,2026-08-03 11:40:00,2026-08-03 12:12:00,32.0,32,17.515984281050507,9.278333333333334,17.396875,30.8,0,0,0,0,1,0,0
T00094,D07,V07,2026-08-04,20:09:00,20:53:00,44,25.77,28.5,48.6,12.905751,77.603948,12.774824,77.516381,2026-08-04 20:09:00,2026-08-04 20:53:00,44.0,44,23.45947431433937,20.91166666666667,28.51590909090909,48.6,1,1,0,0,1,0,0
T00095,D07,V07,2026-07-31,06:56:00,07:38:00,42,19.42,18.1,32.4,12.917436,77.624152,13.045869,77.568591,2026-07-31 06:56:00,2026-07-31 07:38:00,42.0,42,18.07950300322174,12.655,18.07857142857143,32.4,0,0,0,0,1,0,0
T00096,D07,V07,2026-08-01,12:56:00,13:12:00,16,6.28,31.3,43.8,12.895326,77.611009,12.876406,77.57572,2026-08-01 12:56:00,2026-08-01 13:12:00,16.0,16,5.264192745233441,8.335,31.25625,43.8,0,0,0,0,0,0,0
T00097,D07,V07,2026-08-04,19:41:00,19:57:00,16,9.24,22.0,33.5,12.913118,77.614918,12.953989,77.57248,2026-08-04 19:41:00,2026-08-04 19:57:00,16.0,16,8.231494701464205,5.8566666666666665,21.9625,33.5,0,0,0,0,1,0,0
T00098,D07,V07,2026-08-06,06:54:00,07:25:00,31,9.44,27.6,39.9,12.914493,77.617114,12.912236,77.544034,2026-08-06 06:54:00,2026-08-06 07:25:00,31.0,31,8.283634456493129,14.275,27.629032258064516,39.9,0,0,0,0,1,0,0
T00099,D07,V07,2026-07-31,19:53:00,20:11:00,18,10.56,33.7,47.6,12.905674,77.607258,12.872106,77.554476,2026-07-31 19:53:00,2026-07-31 20:11:00,18.0,18,8.961027924484384,10.113333333333333,33.71111111111111,47.6,0,0,0,0,0,0,0
