Trip_ID,Driver_ID,Vehicle_ID,Trip_Date,trip_duration_min,trip_distance_km,avg_speed_kmph,max_speed_kmph,min_speed_kmph,speed_std_kmph,speed_range_kmph,harsh_accel_events,harsh_brake_events,harsh_event_rate_per_10min,speed_delta_mean_kmph,stop_count,stop_duration_min,moving_time_min,telemetry_flagged_minute_pct,any_trip_quality_flag,flag_overlap_driver,flag_overlap_vehicle,flag_non_primary_vehicle,flag_distance_vs_gps,flag_distance_vs_speed_integral,flag_has_gps_teleport,flag_has_speed_jump,optional_high_speed_time_pct,optional_accel_mag_mean_g,optional_accel_mag_std_g,optional_gyro_mag_mean_dps
T00012,D01,V01,2026-08-05,29,11.69,32.1,45.8,2.8,11.313742243254353,43.0,3,3,2.0689655172413794,14.424999999999999,0,0,29,0.0,1,0,0,0,0,1,0,0,34.48275862068966,1.011746764435433,0.12442210055442922,3.3775687869988356
T00013,D01,V01,2026-08-01,37,14.92,28.1,47.0,0.0,10.697651365825338,47.0,1,2,0.8108108108108107,10.075,1,1,36,0.0,0,0,0,0,0,0,0,0,24.324324324324326,1.0078956213582564,0.0670446386400711,6.810928980477781
T00014,D01,V01,2026-08-05,24,16.29,29.5,45.0,2.8,9.751963756159538,42.2,1,1,0.8333333333333334,10.908695652173913,0,0,24,0.0,1,0,0,0,0,1,0,0,8.333333333333332,1.0262390480409938,0.05699541958024761,7.264724001023139
T00015,D01,V01,2026-08-01,37,14.69,19.9,47.2,0.8,10.839649579345405,46.400000000000006,1,1,0.5405405405405405,11.38888888888889,0,0,37,0.0,0,0,0,0,0,0,0,0,2.7027027027027026,1.0283074821275564,0.055822317674014243,5.918455264219544
T00016,D02,V02,2026-08-02,14,6.21,23.1,44.7,1.0,15.7480384266014,43.7,1,3,2.857142857142857,20.49230769230769,0,0,14,0.0,1,1,1,0,0,0,0,0,21.428571428571427,1.1325710053677713,0.23287514799587258,7.315028202127649
T00017,D02,V02,2026-08-06,25,9.63,22.8,38.0,2.3,10.597762342431851,35.7,2,2,1.6,12.700000000000001,0,0,25,0.0,0,0,0,0,0,0,0,0,8.0,1.0537789164149598,0.09390817389495192,5.427644492458572
T00018,D02,V02,2026-08-06,25,19.0,22.2,33.7,5.5,8.210040600792826,28.200000000000003,0,0,0.0,8.1125,0,0,25,0.0,1,0,0,0,0,1,0,0,0.0,1.0537890966530141,0.1795065567953587,4.504002458902011
T00019,D02,V02,2026-08-01,20,6.61,16.9,31.5,0.0,9.79340675094595,31.5,1,1,1.0,11.678947368421053,1,1,19,0.0,1,1,1,0,0,0,0,0,0.0,1.0271155938567655,0.11467646413997183,3.5315977282428848
T00020,D02,V02,2026-08-05,43,9.39,21.7,44.1,1.8,10.132320030061408,42.300000000000004,2,2,0.9302325581395349,12.138095238095238,0,0,43,0.0,1,0,0,0,0,1,0,0,2.3255813953488373,1.0958517548196867,0.2099410945003592,4.215979969951618
T00021,D02,V02,2026-08-01,45,23.92,18.8,36.3,0.1,9.434196876632939,36.199999999999996,3,2,1.1111111111111112,11.372727272727273,0,0,45,0.0,1,1,1,0,0,1,0,0,0.0,1.0184967938342078,0.14006359292095252,6.690252666638946
T00022,D02,V02,2026-08-02,41,11.6,22.3,36.9,0.0,9.411593784316002,36.9,0,1,0.24390243902439027,9.3325,1,1,40,0.0,1,1,1,0,0,1,0,0,0.0,1.0174957828314606,0.1258508649878817,5.1282002742214425
T00023,D02,V02,2026-08-03,21,15.2,26.8,50.7,0.0,13.635400355587027,50.7,1,2,1.4285714285714286,16.435,1,1,20,4.761904761904762,1,0,0,0,0,1,0,1,23.809523809523807,1.008604912692706,0.06805649562492885,3.0111624625849176
T00024,D02,V02,2026-08-04,35,16.23,27.5,50.5,0.0,11.819830936242045,50.5,3,2,1.4285714285714286,14.555882352941177,3,3,32,2.857142857142857,1,0,0,0,0,0,0,1,17.142857142857142,1.0296087187230771,0.16421883010983074,3.9864427660980093
T00025,D02,V02,2026-08-05,17,7.73,19.6,31.9,4.2,8.066734524102857,27.7,0,1,0.5882352941176471,10.70625,0,0,17,0.0,0,0,0,0,0,0,0,0,0.0,1.0055761150263134,0.10660543698199819,5.758669508094334
T00026,D02,V02,2026-08-02,13,11.49,28.1,41.9,18.2,6.650120492449934,23.7,0,0,0.0,6.708333333333333,0,0,13,0.0,1,0,0,0,0,1,0,0,7.6923076923076925,1.0115938457816893,0.08042884292754066,3.5691402015910865
T00027,D02,V02,2026-08-02,19,11.53,21.3,34.3,4.5,9.921472372339084,29.799999999999997,0,1,0.5263157894736842,12.666666666666666,0,0,19,0.0,1,0,0,0,0,1,0,0,0.0,1.1092730839444902,0.2553544681733084,4.9080862681505595
T00028,D02,V02,2026-08-06,18,9.1,29.3,50.9,3.2,11.321962288638815,47.699999999999996,2,2,2.2222222222222223,15.558823529411764,0,0,18,0.0,0,0,0,0,0,0,0,0,22.22222222222222,1.0571693960678041,0.11665273358976976,8.654799741477525
T00029,D02,V02,2026-08-06,44,14.25,17.7,36.3,0.2,8.453380111325524,36.099999999999994,0,1,0.22727272727272727,10.937209302325583,0,0,44,0.0,0,0,0,0,0,0,0,0,0.0,1.042665576984164,0.13603007201558912,4.457807374574528
T00030,D02,V02,2026-08-04,22,10.41,22.1,35.1,7.6,6.725388030132103,27.5,0,0,0.0,8.104761904761906,0,0,22,0.0,0,0,0,0,0,0,0,0,0.0,1.0858367780710345,0.1977244126535394,5.309924425901074
T00031,D03,V03,2026-08-02,18,9.23,14.3,32.4,0.0,9.860510798260625,32.4,1,0,0.5555555555555556,12.36470588235294,2,2,16,0.0,1,0,0,0,1,1,0,0,0.0,1.0294614862985538,0.05810733886195258,5.947503577104677
T00032,D03,V03,2026-07-31,38,16.21,13.3,35.6,0.0,10.59572668095878,35.6,4,2,1.5789473684210527,14.451351351351352,6,6,32,0.0,1,0,0,0,0,1,0,0,0.0,1.025803803475414,0.0706447445424329,6.311434666758875
T00033,D03,V03,2026-08-03,14,8.27,23.6,46.6,2.5,14.027807940102246,44.1,1,0,0.7142857142857143,13.707692307692307,0,0,14,0.0,0,0,0,0,0,0,0,0,21.428571428571427,1.0702815806908883,0.1056047538532927,8.613389156803335
T00034,D03,V03,2026-08-06,22,6.26,29.8,58.8,5.4,13.385658151762435,53.4,1,2,1.3636363636363635,15.680952380952382,0,0,22,0.0,1,0,0,0,0,1,0,0,22.727272727272727,1.0303543814511251,0.052213695402059376,6.697086479564875
T00035,D03,V03,2026-08-03,32,13.38,30.5,54.7,1.4,12.012009699302155,53.300000000000004,2,0,0.625,13.154838709677419,0,0,32,0.0,0,0,0,0,0,0,0,0,25.0,1.0368902674298204,0.07356878411875946,4.049594603687612
T00036,D03,V03,2026-08-06,31,19.96,19.9,51.2,0.0,13.675120647774294,51.2,1,4,1.6129032258064515,15.543333333333333,2,2,29,0.0,1,0,0,0,0,1,0,0,12.903225806451612,1.0372005605673627,0.06145999021618479,5.522011285624402
T00037,D03,V03,2026-08-05,43,18.13,25.4,68.8,0.0,14.580867407399312,68.8,4,3,1.627906976744186,16.43095238095238,1,1,42,2.3255813953488373,1,0,0,0,0,0,0,1,13.953488372093023,1.02813271459478,0.06258312771610033,4.572468178445142
T00038,D03,V03,2026-07-31,44,19.77,22.0,52.3,0.1,14.823349353183023,52.199999999999996,5,6,2.5,17.52093023255814,0,0,44,0.0,1,0,0,0,0,1,0,0,13.636363636363635,1.018233578713429,0.04950867528853536,3.9936064013041106
T00039,D03,V03,2026-07-31,25,11.92,22.4,52.3,0.0,13.026354056296796,52.3,2,3,2.0,14.854166666666666,2,2,23,0.0,0,0,0,0,0,0,0,0,12.0,1.0168616542713893,0.06217797098227312,7.882012575168183
T00040,D03,V03,2026-08-06,31,13.65,21.8,49.9,0.0,15.326729059258339,49.9,4,4,2.5806451612903225,16.616666666666667,1,1,30,0.0,0,0,0,0,0,0,0,0,16.129032258064516,1.049047548860447,0.06768467259444999,6.9184362836924915
T00041,D03,V03,2026-08-03,35,12.38,27.4,60.1,0.0,12.949005996698006,60.1,1,4,1.4285714285714286,13.585294117647058,1,1,34,2.857142857142857,1,0,0,0,0,1,0,1,20.0,1.029679941368934,0.062140884047365126,3.126528721095188
T00042,D03,V03,2026-08-04,40,7.88,21.5,53.4,0.0,13.778293733446397,53.4,5,6,2.75,16.674358974358977,2,2,38,2.5,1,0,0,0,0,1,0,1,12.5,1.0202964074029617,0.05970196097462101,4.299358065304892
T00043,D03,V03,2026-08-01,39,20.88,16.4,47.1,0.0,12.161433255969715,47.1,5,1,1.5384615384615385,13.573684210526315,3,3,36,0.0,1,0,0,0,0,1,0,0,5.128205128205128,1.0241918340247302,0.05671591198924046,5.4475217070881286
T00044,D03,V03,2026-08-06,27,9.3,32.4,59.1,6.2,12.710151404210286,52.9,3,2,1.8518518518518516,13.48076923076923,0,0,27,0.0,1,0,0,0,0,1,0,0,33.33333333333333,1.042267187433185,0.0812642815858305,5.014368074494082
T00045,D03,V03,2026-08-05,43,13.14,22.1,55.4,0.0,14.833604586468034,55.4,5,7,2.7906976744186047,17.014285714285716,6,6,37,2.3255813953488373,1,0,0,0,0,0,0,1,6.976744186046512,1.0438763260403061,0.0864344349783982,7.657542839845995
T00046,D04,V04,2026-08-05,45,18.81,28.0,48.1,0.8,9.656883764465842,47.300000000000004,1,2,0.6666666666666666,10.340909090909092,0,0,45,0.0,0,0,0,0,0,0,0,0,11.11111111111111,1.0029170335464495,0.04946212325138612,4.017363785619891
T00047,D04,V04,2026-08-05,33,15.2,32.4,50.7,1.7,11.049588638990551,49.0,2,2,1.2121212121212122,14.009375,0,0,33,0.0,0,0,0,0,0,0,0,0,42.42424242424242,1.0105378184779732,0.03766773945081514,4.440458895133281
T00048,D04,V04,2026-08-05,32,16.54,23.9,42.9,0.0,8.62512272002456,42.9,1,1,0.625,9.438709677419356,1,1,31,0.0,1,0,0,0,0,1,0,0,3.125,1.0215277770065345,0.04521312460423233,4.9705233556052475
T00049,D04,V04,2026-08-02,32,10.78,29.8,51.6,0.9,11.106171998110462,50.7,0,1,0.3125,11.66451612903226,0,0,32,0.0,1,0,0,0,0,1,0,0,28.125,1.0206382820545572,0.07251093589403845,6.580323171741992
T00050,D04,V04,2026-07-31,38,10.83,22.3,37.6,3.5,6.940968322343655,34.1,0,0,0.0,6.683783783783784,0,0,38,0.0,1,0,0,0,0,1,0,0,2.631578947368421,1.0124790602409224,0.05176944674409371,2.8366518150555535
T00051,D04,V04,2026-08-01,38,12.83,15.3,29.1,0.0,7.916930469014433,29.1,1,0,0.2631578947368421,9.81081081081081,1,1,37,0.0,1,0,0,0,0,1,0,0,0.0,1.037980263800708,0.13024134919532282,5.350716418416077
T00052,D04,V04,2026-08-03,21,7.47,18.6,34.8,2.3,8.765451663042974,32.5,0,1,0.47619047619047616,11.65,0,0,21,0.0,0,0,0,0,0,0,0,0,0.0,1.0236393718231505,0.039682594121115786,7.458190320492856
T00053,D04,V04,2026-08-04,29,13.9,19.4,40.6,3.0,8.272084934438329,37.6,1,1,0.6896551724137931,8.757142857142858,0,0,29,0.0,1,0,0,0,0,1,0,0,3.4482758620689653,1.0185296237434016,0.051901266553707505,6.142162821693027
T00054,D04,V04,2026-08-01,40,17.54,29.7,50.6,2.8,10.83063053068969,47.800000000000004,1,1,0.5,10.974358974358974,0,0,40,0.0,0,0,0,0,0,0,0,0,22.5,1.0162918784693473,0.03802991747053664,5.834317287635635
T00055,D04,V04,2026-08-02,28,13.16,28.1,48.8,2.2,12.364460933655545,46.599999999999994,2,3,1.7857142857142858,13.340740740740742,0,0,28,0.0,0,0,0,0,0,0,0,0,21.428571428571427,1.0101394849222773,0.04158845460638174,5.634235016139344
T00056,D04,V04,2026-08-04,27,11.73,16.0,32.5,1.7,8.341105777056514,30.8,0,0,0.0,9.715384615384615,0,0,27,0.0,1,0,0,0,0,1,0,0,0.0,0.9888626070243822,0.035740033350592115,6.012290593690512
T00057,D04,V04,2026-07-31,29,16.38,28.4,40.0,2.2,9.317766016959109,37.8,1,1,0.6896551724137931,9.917857142857143,0,0,29,0.0,0,0,0,0,0,0,0,0,13.793103448275861,1.0216869844314183,0.056254037778762575,3.255770664566137
T00058,D04,V04,2026-08-02,20,9.66,25.4,43.6,4.1,10.102958138975671,39.5,0,0,0.0,10.563157894736841,0,0,20,0.0,0,0,0,0,0,0,0,0,5.0,1.0030481537494675,0.04336626459630268,6.687492414367776
T00059,D04,V04,2026-08-03,32,18.54,26.9,36.5,0.9,8.037602530324815,35.6,0,0,0.0,6.425806451612904,0,0,32,0.0,1,0,0,0,0,1,0,0,0.0,1.0037992253433818,0.04216965978614187,6.435968142872806
T00060,D04,V04,2026-07-31,31,9.64,20.2,45.7,0.9,10.93289698840796,44.800000000000004,2,2,1.2903225806451613,11.7,0,0,31,0.0,0,0,0,0,0,0,0,0,3.225806451612903,1.0036310954217436,0.034441425337850134,3.654498074734695
T00061,D05,V05,2026-08-05,42,19.04,33.1,47.8,0.9,6.724224240582006,46.9,1,1,0.47619047619047616,6.370731707317073,0,0,42,0.0,1,1,1,0,0,1,0,0,19.047619047619047,1.0063866080761932,0.029078444604615037,3.737050543565355
T00062,D05,V05,2026-08-04,41,33.4,23.4,34.1,9.2,4.516855964592855,24.900000000000002,0,0,0.0,5.3375,0,0,41,0.0,1,0,0,0,1,1,0,0,0.0,0.993322589990292,0.040441785573248845,3.9481713803753795
T00063,D05,V05,2026-08-01,45,28.5,18.7,30.0,1.1,5.94852243770831,28.9,1,0,0.2222222222222222,6.570454545454544,0,0,45,0.0,1,0,0,0,0,1,0,0,0.0,1.0052416675677316,0.03521638963545428,3.6995846679665854
T00064,D05,V05,2026-08-01,26,17.15,31.7,42.0,24.2,4.414788086211369,17.8,0,0,0.0,4.98,0,0,26,0.0,1,0,0,0,0,1,0,0,7.6923076923076925,1.0213684695929661,0.06707091242986853,4.6001672679801455
T00065,D05,V05,2026-08-04,44,15.93,26.5,37.5,0.0,9.290285396499636,37.5,4,2,1.3636363636363635,9.544186046511628,1,1,43,0.0,1,0,0,0,0,1,0,0,2.272727272727273,1.0017916837705445,0.03487038539606178,3.356335660190757
T00066,D05,V05,2026-08-06,22,14.07,22.1,30.8,3.1,7.34900676506019,27.7,0,0,0.0,8.857142857142858,0,0,22,0.0,1,0,0,0,0,1,0,0,0.0,1.0100177430058688,0.03453672572044925,2.951144843152112
T00067,D05,V05,2026-08-05,41,12.07,24.1,33.0,0.0,7.8894789465959345,33.0,2,2,0.9756097560975611,7.5875,1,1,40,0.0,1,1,1,0,0,1,0,0,0.0,1.0034465945590674,0.04339619988554372,5.374278843697193
T00068,D05,V05,2026-08-01,27,9.12,23.8,34.5,0.0,9.807663147266856,34.5,2,2,1.4814814814814814,11.584615384615384,1,1,26,0.0,0,0,0,0,0,0,0,0,0.0,1.0023347931198106,0.033753055439810956,4.679040061488005
T00069,D05,V05,2026-08-02,27,19.08,19.2,24.7,5.5,4.6903610926545065,19.2,0,0,0.0,5.288461538461538,0,0,27,0.0,1,0,0,0,0,1,0,0,0.0,1.0365642063486524,0.12358871699080713,3.065690045056091
T00070,D05,V05,2026-08-05,39,19.7,20.5,29.7,0.9,6.394865517995853,28.8,0,0,0.0,6.744736842105263,0,0,39,0.0,1,0,0,0,0,1,0,0,0.0,1.0260591961001397,0.14386447550194295,5.387783687293084
T00071,D05,V05,2026-08-01,27,10.77,18.4,25.2,3.6,5.168469495225538,21.599999999999998,0,0,0.0,5.334615384615384,0,0,27,0.0,0,0,0,0,0,0,0,0,0.0,1.0210764128012992,0.08816568732580665,3.340112135774505
T00072,D05,V05,2026-08-03,26,19.89,17.9,25.7,10.9,3.858204046125407,14.799999999999999,0,0,0.0,4.876,0,0,26,0.0,1,0,0,0,0,1,0,0,0.0,1.020473569284318,0.10843856402502167,3.302781374904174
T00073,D05,V05,2026-08-04,22,13.51,19.3,25.9,12.0,3.719612813253482,13.899999999999999,0,0,0.0,4.604761904761904,0,0,22,0.0,1,0,0,0,0,1,0,0,0.0,1.0112440846329767,0.03742473620856446,4.253138089280801
T00074,D05,V05,2026-08-06,12,7.0,26.6,35.0,3.0,8.064752151971398,32.0,0,0,0.0,5.745454545454544,0,0,12,0.0,1,0,0,0,1,0,0,0,0.0,0.9979107559028261,0.03042349427274886,3.271848171590875
T00075,D05,V05,2026-08-05,41,19.37,20.0,30.2,0.1,5.885201573521132,30.099999999999998,0,0,0.0,5.88,0,0,41,0.0,1,0,0,0,0,1,0,0,0.0,1.02095521633655,0.07772938563418683,4.047137206089603
T00076,D06,V06,2026-08-04,19,9.64,21.8,52.7,0.0,14.551949689511774,52.7,2,1,1.5789473684210527,17.605555555555554,1,1,18,5.263157894736842,1,0,0,0,0,0,0,1,5.263157894736842,1.0240979528914387,0.05354296031522945,4.654789315698771
T00077,D06,V06,2026-08-01,38,14.71,23.0,51.3,0.0,14.78673812801768,51.3,6,4,2.6315789473684212,19.208108108108107,1,1,37,0.0,0,0,0,0,0,0,0,0,15.789473684210526,1.0203689651287646,0.05875226276908372,4.331937101986466
T00078,D06,V06,2026-08-05,30,16.2,28.4,70.0,3.2,17.06708366498466,66.8,3,4,2.3333333333333335,18.286206896551725,0,0,30,6.666666666666667,1,0,0,0,0,0,0,1,30.0,1.0229275085024327,0.052744789077529865,4.278891346111256
T00079,D06,V06,2026-08-03,16,10.56,26.1,58.1,0.0,15.025454790676608,58.1,3,3,3.75,18.779999999999998,1,1,15,0.0,1,0,0,0,0,1,0,0,12.5,1.0286322431910102,0.08903494905009075,4.096882689828629
T00080,D06,V06,2026-08-02,40,3.39,17.7,54.4,0.0,14.179168540955443,54.4,3,3,1.5,15.810256410256411,4,4,36,2.5,1,0,0,0,0,1,0,1,7.5,1.0243562297424504,0.06990737159202044,5.165477695759958
T00081,D06,V06,2026-07-31,36,12.28,25.7,58.3,0.0,15.796918526112455,58.3,6,7,3.611111111111111,22.217142857142857,1,1,35,2.7777777777777777,1,0,1,0,0,1,0,1,27.77777777777778,1.0199149110936832,0.05893159924511006,6.22075536139749
T00082,D06,V06,2026-08-04,43,13.82,24.9,55.3,0.0,15.177362273511013,55.3,6,9,3.488372093023256,18.61904761904762,2,2,41,0.0,1,1,1,0,0,1,0,0,23.25581395348837,1.0239017089928468,0.07173719959249543,5.913722134257785
T00083,D06,V06,2026-08-05,36,17.44,23.3,48.7,0.0,13.727303345626815,48.7,2,1,0.8333333333333333,13.008571428571429,3,3,33,0.0,1,0,0,0,0,1,0,0,13.88888888888889,1.009313640640437,0.05177729602200923,6.946169050339105
T00084,D06,V06,2026-08-06,40,10.42,24.3,48.2,0.3,12.65425842988266,47.900000000000006,3,1,1.0,13.784615384615385,0,0,40,0.0,1,0,0,0,0,1,0,0,17.5,1.0102770525026028,0.059919836933237866,4.187228937867522
T00085,D06,V06,2026-08-03,20,11.43,25.4,49.3,0.0,12.902614994031657,49.3,1,1,1.0,14.200000000000001,2,2,18,0.0,0,0,0,0,0,0,0,0,15.0,1.0148498225380158,0.0339835516646639,9.969676260288539
T00086,D06,V06,2026-08-04,22,12.86,36.4,61.3,3.9,15.99364118772078,57.4,2,2,1.8181818181818181,15.71904761904762,0,0,22,4.545454545454546,1,1,1,0,0,0,0,1,50.0,1.0251965873987423,0.06337607258091334,4.214988059256662
T00087,D06,V06,2026-08-05,36,17.77,25.5,49.6,0.0,13.855377730812396,49.6,3,2,1.3888888888888888,15.102857142857143,1,1,35,0.0,0,0,0,0,0,0,0,0,25.0,1.014609865373628,0.07431718876628245,7.685404472299818
T00088,D06,V06,2026-08-01,42,18.52,27.9,73.6,0.0,17.721579625888364,73.6,7,4,2.619047619047619,21.263414634146343,1,1,41,4.761904761904762,1,0,0,0,0,0,0,1,35.714285714285715,1.040111636777886,0.07337589283913144,5.689427488842865
T00089,D06,V06,2026-08-06,38,17.55,35.8,63.4,0.5,16.93444476887732,62.9,7,5,3.1578947368421053,19.4027027027027,0,0,38,0.0,1,0,0,0,0,1,0,0,55.26315789473685,1.0278321061300446,0.07974709028234432,3.9218063830188328
T00090,D06,V06,2026-08-04,14,26.46,17.4,44.2,1.8,12.93669285319946,42.400000000000006,2,1,2.142857142857143,15.684615384615386,0,0,14,28.57142857142857,1,0,0,0,1,1,1,0,7.142857142857142,1.0285850977133126,0.06029016673830996,5.8081321262382515
T00091,D07,V07,2026-08-02,44,10.44,16.2,34.5,0.4,9.08987657984345,34.1,0,1,0.22727272727272727,9.602325581395348,0,0,44,0.0,0,0,0,0,0,0,0,0,0.0,1.021189165512249,0.06240421172754243,4.076777865927507
T00092,D07,V07,2026-08-05,41,16.75,30.9,44.8,3.0,8.497983261468283,41.8,1,1,0.48780487804878053,9.5075,0,0,41,0.0,1,0,0,0,0,1,0,0,17.073170731707318,1.025752564143854,0.08843256798892671,5.551050069811775
T00093,D07,V07,2026-08-03,32,19.64,17.4,30.8,0.0,8.425594049124676,30.8,0,1,0.3125,10.074193548387097,1,1,31,0.0,1,0,0,0,0,1,0,0,0.0,1.002345252490736,0.042107325964785614,5.261842288252251
T00094,D07,V07,2026-08-04,44,25.77,28.5,48.6,0.5,12.42325170296667,48.1,2,4,1.3636363636363635,12.453488372093023,0,0,44,0.0,1,1,1,0,0,1,0,0,18.181818181818183,1.0169094252851119,0.04893296642069604,3.185082905279165
T00095,D07,V07,2026-07-31,42,19.42,18.1,32.4,0.0,7.872568481427996,32.4,0,0,0.0,9.063414634146342,1,1,41,0.0,1,0,0,0,0,1,0,0,0.0,1.0447879479400857,0.09427955850710427,5.043040248442078
T00096,D07,V07,2026-08-01,16,6.28,31.3,43.8,3.8,9.231971169076877,40.0,0,1,0.625,9.726666666666667,0,0,16,0.0,0,0,0,0,0,0,0,0,18.75,1.0057948292857546,0.029102327641886527,2.928727891764805
T00097,D07,V07,2026-08-04,16,9.24,22.0,33.5,3.5,7.337018013698298,30.0,0,0,0.0,8.186666666666666,0,0,16,0.0,1,0,0,0,0,1,0,0,0.0,1.004987534016961,0.030939622415410734,6.782623759760618
T00098,D07,V07,2026-08-06,31,9.44,27.6,39.9,4.2,8.157499353289875,35.699999999999996,2,1,0.9677419354838709,9.71,0,0,31,0.0,1,0,0,0,0,1,0,0,9.67741935483871,1.0127103427892237,0.030533920940343344,5.922099918342183
T00099,D07,V07,2026-07-31,18,10.56,33.7,47.6,21.3,8.55823572313888,26.3,0,0,0.0,9.529411764705882,0,0,18,0.0,0,0,0,0,0,0,0,0,33.33333333333333,1.0076250380373584,0.046272269019620636,2.725570181041415
T00100,D07,V07,2026-08-05,42,12.41,28.4,45.7,1.7,11.109834140712739,44.0,3,4,1.6666666666666665,13.863414634146341,0,0,42,0.0,1,0,0,0,0,1,0,0,19.047619047619047,1.0144356965176695,0.04131087983129095,4.2263465413799315
T00101,D07,V07,2026-08-04,25,14.96,27.1,44.1,1.7,10.732005093799264,42.4,2,3,2.0,13.325000000000001,0,0,25,0.0,1,1,1,0,0,1,0,0,12.0,1.0082974892250343,0.03953760370536208,4.386377746856946
T00102,D07,V07,2026-08-02,20,11.13,28.5,54.4,0.1,15.516073160300243,54.3,3,2,2.5,17.247368421052634,0,0,20,5.0,1,0,0,0,0,0,0,1,20.0,0.9976887491984876,0.0309857305487458,3.301551005186181
T00103,D07,V07,2026-08-01,36,23.1,30.2,47.4,3.1,9.706487357710657,44.3,1,1,0.5555555555555556,11.594285714285713,0,0,36,0.0,1,0,0,0,0,1,0,0,22.22222222222222,1.0138287141489377,0.03719914792265944,4.5440086697518085
T00104,D07,V07,2026-08-05,16,11.59,22.0,34.0,3.6,9.76123071133963,30.4,0,0,0.0,12.273333333333335,0,0,16,0.0,1,0,0,0,0,1,0,0,0.0,1.0093591234192152,0.03711923088848958,6.246101217713312
T00105,D07,V07,2026-08-04,39,16.29,17.2,35.0,1.5,8.74167118546047,33.5,0,0,0.0,10.507894736842106,0,0,39,0.0,1,0,0,0,0,1,0,0,0.0,1.020325352074397,0.055691315739920685,5.8927602341933145
T00106,D08,V08,2026-08-01,37,10.51,26.5,46.3,1.1,9.979369108706614,45.199999999999996,1,1,0.5405405405405405,10.11111111111111,0,0,37,0.0,1,0,0,0,0,1,0,0,10.81081081081081,1.0250274493538702,0.06350676661905759,4.190319786793029
T00107,D08,V08,2026-08-04,33,18.92,25.3,46.0,2.1,10.80141071734838,43.9,0,2,0.6060606060606061,12.2125,0,0,33,0.0,1,0,0,0,0,1,0,0,12.121212121212121,0.9945281448149799,0.02591595951270454,4.15737992935431
